101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：苗栗縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
大湖鄉,靜湖村,438,313073,715,564,328,930,606.18,84.81
大湖鄉,大寮村,276,184428,668,534,343,878,503.4,75.33
大湖鄉,富興村,292,169350,580,482,300,724,432.89,74.64
大湖鄉,大南村,102,64450,632,524,386,838,454.27,71.89
大湖鄉,南湖村,160,100417,628,500,299,794,550.09,87.65
大湖鄉,義和村,286,191930,671,540,361,827,531.66,79.22
大湖鄉,東興村,127,83621,658,523,332,720,882.51,134.03
大湖鄉,武榮村,83,54810,660,525,329,699,576.86,87.35
大湖鄉,新開村,188,121764,648,543,317,826,496.52,76.66
大湖鄉,栗林村,156,94277,604,515,320,760,396.57,65.62
大湖鄉,其　他,0,0,0,0,0,0,0,0
大湖鄉,合　計,2750,1825670,664,537,333,838,548.31,82.59
卓蘭鎮,老庄里,457,309551,677,546,334,858,551.8,81.46
卓蘭鎮,新榮里,241,151667,629,478,300,808,489.91,77.85
卓蘭鎮,中街里,201,143055,712,533,299,878,809.32,113.71
卓蘭鎮,新厝里,383,223700,584,473,262,769,501.63,85.88
卓蘭鎮,豐田里,219,131301,600,484,289,779,456.3,76.11
卓蘭鎮,西坪里,160,109867,687,541,295,850,590.06,85.93
卓蘭鎮,上新里,492,299125,608,489,289,765,493.74,81.21
卓蘭鎮,內灣里,437,257601,589,458,294,718,525.81,89.2
卓蘭鎮,苗豐里,177,115029,650,486,277,830,574.13,88.34
卓蘭鎮,坪林里,306,176528,577,435,289,697,602.56,104.45
卓蘭鎮,景山里,168,109508,652,528,327,810,481.48,73.87
卓蘭鎮,其　他,1,394,394,394,394,394,0,0
卓蘭鎮,合　計,3242,2027325,625,493,297,792,549.29,87.84
獅潭鄉,百壽村,53,36019,680,586,260,890,598.46,88.06
獅潭鄉,永興村,114,74522,654,532,332,904,476.59,72.91
獅潭鄉,新店村,210,138138,658,522,354,821,513.25,78.02
獅潭鄉,和興村,109,70214,644,495,308,797,522.48,81.11
獅潭鄉,豐林村,127,81774,644,560,362,748,722.32,112.18
獅潭鄉,新豐村,74,49815,673,451,271,1011,596.14,88.56
獅潭鄉,竹木村,154,102774,667,540,351,852,468.01,70.13
