101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：高雄市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
三民區,寶安里,2289,2110999,922,643,369,1161,1108.15,120.16
三民區,本元里,1703,1573976,924,653,384,1163,1189.05,128.65
三民區,本安里,1529,1540255,1007,666,389,1273,1007.57,100.02
三民區,本上里,1643,1892604,1152,764,408,1552,1182.21,102.63
三民區,本揚里,2421,2396534,990,700,380,1278,961.08,97.09
三民區,鼎力里,1169,982599,841,622,347,1086,895.03,106.48
三民區,鼎強里,1124,850660,757,584,358,959,643.18,84.99
三民區,本和里,2392,2225939,931,680,384,1181,924.54,99.35
三民區,其　他,24,19345,806,457,287,874,836.16,103.74
三民區,合　計,92013,82440993,896,631,363,1108,1140.22,127.26
新興區,大明里,322,255457,793,564,308,904,831.9,104.86
新興區,明莊里,179,182716,1021,557,290,1027,1924.16,188.5
新興區,仁聲里,301,272455,905,561,316,1288,952.23,105.2
新興區,漢民里,253,208326,823,517,295,963,960.98,116.71
新興區,華聲里,336,374846,1116,663,333,1193,2340.72,209.81
新興區,玉衡里,267,207848,778,580,303,936,879.76,113.01
新興區,榮治里,249,469683,1886,819,371,1822,3517.44,186.47
新興區,浩然里,678,680244,1003,645,348,1216,1227.99,122.39
新興區,振成里,460,522026,1135,618,343,1176,2025.15,178.45
新興區,德生里,1143,1478111,1293,677,365,1513,1896.31,146.64
新興區,成功里,409,518776,1268,702,362,1338,2141.59,168.84
新興區,愛平里,340,339139,997,647,360,1260,1091.68,109.44
新興區,新江里,407,386762,950,518,282,1002,3023.83,318.21
新興區,黎明里,250,245960,984,500,312,1067,2214.72,225.11
新興區,秋山里,264,190854,723,551,252,888,680.26,94.1
新興區,長驛里,263,205780,782,546,317,963,792.71,101.31
新興區,建興里,257,197027,767,516,314,895,755.27,98.52
新興區,德望里,753,755509,1003,644,345,1152,1308.66,130.43
新興區,中東里,833,801711,962,578,315,1057,1803.99,187.44
新興區,東坡里,385,321269,834,562,310,1012,1052.32,126.11
新興區,蕉園里,246,232961,947,623,346,1135,1143.52,120.75
新興區,德政里,225,199775,888,617,334,1102,1005.28,113.22
